
==== Start experiment: replay capacity (max_mem_size)=1000, batch_size=128 ====
[buffer 1000] >>> SUCCESS #1 | ep 0 | score 9401.53 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 99 | mem 99/1000 | tries_since_last=0 | 31 ms
[buffer 5000] >>> SUCCESS #8 | ep 22 | score 9403.03 | last_reward 3000.0 | loss 15.074 | eps 0.050 | steps 89 | mem 1913/5000 | tries_since_last=0 | 150 ms
[buffer 5000] ep    22 | SUCCESS | score   9403.03 | last_reward 3000.0 | loss  15.074 | eps 0.050 | steps   89 | mem 1913/5000 | tries_since_last=0 | 150 ms
[buffer 5000] >>> SUCCESS #9 | ep 23 | score 9470.10 | last_reward 3000.0 | loss 15.065 | eps 0.050 | steps 89 | mem 2002/5000 | tries_since_last=0 | 153 ms
[buffer 5000] ep    23 | SUCCESS | score   9470.10 | last_reward 3000.0 | loss  15.065 | eps 0.050 | steps   89 | mem 2002/5000 | tries_since_last=0 | 153 ms
[buffer 5000] >>> SUCCESS #10 | ep 24 | score 9479.01 | last_reward 3000.0 | loss 20.131 | eps 0.050 | steps 89 | mem 2091/5000 | tries_since_last=0 | 167 ms
[buffer 5000] ep    24 | SUCCESS | score   9479.01 | last_reward 3000.0 | loss  20.131 | eps 0.050 | steps   89 | mem 2091/5000 | tries_since_last=0 | 167 ms
[buffer 5000] >>> SUCCESS #11 | ep 25 | score 9439.31 | last_reward 3000.0 | loss 18.428 | eps 0.050 | steps 89 | mem 2180/5000 | tries_since_last=0 | 162 ms
[buffer 5000] ep    25 | SUCCESS | score   9439.31 | last_reward 3000.0 | loss  18.428 | eps 0.050 | steps   89 | mem 2180/5000 | tries_since_last=0 | 162 ms
[buffer 5000] >>> SUCCESS #12 | ep 26 | score 9434.69 | last_reward 3000.0 | loss 19.000 | eps 0.050 | steps 88 | mem 2268/5000 | tries_since_last=0 | 149 ms
[buffer 5000] ep    26 | SUCCESS | score   9434.69 | last_reward 3000.0 | loss  19.000 | eps 0.050 | steps   88 | mem 2268/5000 | tries_since_last=0 | 149 ms
[buffer 5000] >>> SUCCESS #13 | ep 27 | score 9498.91 | last_reward 3000.0 | loss 21.906 | eps 0.050 | steps 89 | mem 2357/5000 | tries_since_last=0 | 159 ms
[buffer 5000] ep    27 | SUCCESS | score   9498.91 | last_reward 3000.0 | loss  21.906 | eps 0.050 | steps   89 | mem 2357/5000 | tries_since_last=0 | 159 ms
[buffer 5000] >>> SUCCESS #14 | ep 28 | score 9450.32 | last_reward 3000.0 | loss 20.938 | eps 0.050 | steps 88 | mem 2445/5000 | tries_since_last=0 | 146 ms
[buffer 5000] ep    28 | SUCCESS | score   9450.32 | last_reward 3000.0 | loss  20.938 | eps 0.050 | steps   88 | mem 2445/5000 | tries_since_last=0 | 146 ms
[buffer 5000] >>> SUCCESS #15 | ep 29 | score 9501.00 | last_reward 3000.0 | loss 16.703 | eps 0.050 | steps 89 | mem 2534/5000 | tries_since_last=0 | 155 ms
[buffer 5000] ep    29 | SUCCESS | score   9501.00 | last_reward 3000.0 | loss  16.703 | eps 0.050 | steps   89 | mem 2534/5000 | tries_since_last=0 | 155 ms
[buffer 5000] >>> SUCCESS #16 | ep 30 | score 9447.50 | last_reward 3000.0 | loss 17.336 | eps 0.050 | steps 88 | mem 2622/5000 | tries_since_last=0 | 148 ms
[buffer 5000] ep    30 | SUCCESS | score   9447.50 | last_reward 3000.0 | loss  17.336 | eps 0.050 | steps   88 | mem 2622/5000 | tries_since_last=0 | 148 ms
[buffer 5000] >>> SUCCESS #17 | ep 31 | score 9435.83 | last_reward 3000.0 | loss 20.784 | eps 0.050 | steps 88 | mem 2710/5000 | tries_since_last=0 | 151 ms
[buffer 5000] ep    31 | SUCCESS | score   9435.83 | last_reward 3000.0 | loss  20.784 | eps 0.050 | steps   88 | mem 2710/5000 | tries_since_last=0 | 151 ms
[buffer 5000] >>> SUCCESS #18 | ep 32 | score 9436.24 | last_reward 3000.0 | loss 26.125 | eps 0.050 | steps 88 | mem 2798/5000 | tries_since_last=0 | 142 ms
[buffer 5000] ep    32 | SUCCESS | score   9436.24 | last_reward 3000.0 | loss  26.125 | eps 0.050 | steps   88 | mem 2798/5000 | tries_since_last=0 | 142 ms
[buffer 5000] >>> SUCCESS #19 | ep 33 | score 9440.92 | last_reward 3000.0 | loss 21.781 | eps 0.050 | steps 88 | mem 2886/5000 | tries_since_last=0 | 160 ms
[buffer 5000] ep    33 | SUCCESS | score   9440.92 | last_reward 3000.0 | loss  21.781 | eps 0.050 | steps   88 | mem 2886/5000 | tries_since_last=0 | 160 ms
[buffer 5000] >>> SUCCESS #20 | ep 34 | score 9507.72 | last_reward 3000.0 | loss 24.059 | eps 0.050 | steps 89 | mem 2975/5000 | tries_since_last=0 | 145 ms
[buffer 5000] ep    34 | SUCCESS | score   9507.72 | last_reward 3000.0 | loss  24.059 | eps 0.050 | steps   89 | mem 2975/5000 | tries_since_last=0 | 145 ms
[buffer 5000] >>> SUCCESS #21 | ep 35 | score 9508.99 | last_reward 3000.0 | loss 26.895 | eps 0.050 | steps 90 | mem 3065/5000 | tries_since_last=0 | 154 ms
[buffer 5000] ep    35 | SUCCESS | score   9508.99 | last_reward 3000.0 | loss  26.895 | eps 0.050 | steps   90 | mem 3065/5000 | tries_since_last=0 | 154 ms
[buffer 5000] >>> SUCCESS #22 | ep 36 | score 9433.52 | last_reward 3000.0 | loss 23.993 | eps 0.050 | steps 88 | mem 3153/5000 | tries_since_last=0 | 145 ms
[buffer 5000] ep    36 | SUCCESS | score   9433.52 | last_reward 3000.0 | loss  23.993 | eps 0.050 | steps   88 | mem 3153/5000 | tries_since_last=0 | 145 ms
[buffer 5000] >>> SUCCESS #23 | ep 37 | score 9508.60 | last_reward 3000.0 | loss 20.127 | eps 0.050 | steps 89 | mem 3242/5000 | tries_since_last=0 | 160 ms
[buffer 5000] ep    37 | SUCCESS | score   9508.60 | last_reward 3000.0 | loss  20.127 | eps 0.050 | steps   89 | mem 3242/5000 | tries_since_last=0 | 160 ms
[buffer 5000] >>> SUCCESS #24 | ep 38 | score 9450.93 | last_reward 3000.0 | loss 22.470 | eps 0.050 | steps 88 | mem 3330/5000 | tries_since_last=0 | 155 ms
[buffer 5000] ep    38 | SUCCESS | score   9450.93 | last_reward 3000.0 | loss  22.470 | eps 0.050 | steps   88 | mem 3330/5000 | tries_since_last=0 | 155 ms
[buffer 5000] >>> SUCCESS #25 | ep 39 | score 9446.97 | last_reward 3000.0 | loss 23.073 | eps 0.050 | steps 88 | mem 3418/5000 | tries_since_last=0 | 153 ms
[buffer 5000] ep    39 | SUCCESS | score   9446.97 | last_reward 3000.0 | loss  23.073 | eps 0.050 | steps   88 | mem 3418/5000 | tries_since_last=0 | 153 ms
[buffer 5000] >>> SUCCESS #26 | ep 40 | score 9444.21 | last_reward 3000.0 | loss 25.738 | eps 0.050 | steps 88 | mem 3506/5000 | tries_since_last=0 | 145 ms
[buffer 5000] ep    40 | SUCCESS | score   9444.21 | last_reward 3000.0 | loss  25.738 | eps 0.050 | steps   88 | mem 3506/5000 | tries_since_last=0 | 145 ms
[buffer 5000] >>> SUCCESS #27 | ep 41 | score 9467.09 | last_reward 3000.0 | loss 22.395 | eps 0.050 | steps 90 | mem 3596/5000 | tries_since_last=0 | 151 ms
[buffer 5000] ep    41 | SUCCESS | score   9467.09 | last_reward 3000.0 | loss  22.395 | eps 0.050 | steps   90 | mem 3596/5000 | tries_since_last=0 | 151 ms
[buffer 5000] >>> SUCCESS #28 | ep 42 | score 9443.97 | last_reward 3000.0 | loss 21.798 | eps 0.050 | steps 88 | mem 3684/5000 | tries_since_last=0 | 148 ms
[buffer 5000] ep    42 | SUCCESS | score   9443.97 | last_reward 3000.0 | loss  21.798 | eps 0.050 | steps   88 | mem 3684/5000 | tries_since_last=0 | 148 ms
[buffer 5000] >>> SUCCESS #29 | ep 43 | score 9454.90 | last_reward 3000.0 | loss 25.602 | eps 0.050 | steps 88 | mem 3772/5000 | tries_since_last=0 | 199 ms
[buffer 5000] ep    43 | SUCCESS | score   9454.90 | last_reward 3000.0 | loss  25.602 | eps 0.050 | steps   88 | mem 3772/5000 | tries_since_last=0 | 199 ms
[buffer 5000] >>> SUCCESS #30 | ep 44 | score 9491.28 | last_reward 3000.0 | loss 26.284 | eps 0.050 | steps 90 | mem 3862/5000 | tries_since_last=0 | 193 ms
[buffer 5000] ep    44 | SUCCESS | score   9491.28 | last_reward 3000.0 | loss  26.284 | eps 0.050 | steps   90 | mem 3862/5000 | tries_since_last=0 | 193 ms
[buffer 5000] >>> SUCCESS #31 | ep 45 | score 9456.72 | last_reward 3000.0 | loss 22.128 | eps 0.050 | steps 88 | mem 3950/5000 | tries_since_last=0 | 159 ms
[buffer 5000] ep    45 | SUCCESS | score   9456.72 | last_reward 3000.0 | loss  22.128 | eps 0.050 | steps   88 | mem 3950/5000 | tries_since_last=0 | 159 ms
[buffer 5000] >>> SUCCESS #32 | ep 46 | score 9478.04 | last_reward 3000.0 | loss 48.562 | eps 0.050 | steps 90 | mem 4040/5000 | tries_since_last=0 | 170 ms
[buffer 5000] ep    46 | SUCCESS | score   9478.04 | last_reward 3000.0 | loss  48.562 | eps 0.050 | steps   90 | mem 4040/5000 | tries_since_last=0 | 170 ms
[buffer 5000] >>> SUCCESS #33 | ep 47 | score 9417.49 | last_reward 3000.0 | loss 37.639 | eps 0.050 | steps 88 | mem 4128/5000 | tries_since_last=0 | 159 ms
[buffer 5000] ep    47 | SUCCESS | score   9417.49 | last_reward 3000.0 | loss  37.639 | eps 0.050 | steps   88 | mem 4128/5000 | tries_since_last=0 | 159 ms
[buffer 5000] >>> SUCCESS #34 | ep 48 | score 9420.52 | last_reward 3000.0 | loss 31.847 | eps 0.050 | steps 88 | mem 4216/5000 | tries_since_last=0 | 161 ms
[buffer 5000] ep    48 | SUCCESS | score   9420.52 | last_reward 3000.0 | loss  31.847 | eps 0.050 | steps   88 | mem 4216/5000 | tries_since_last=0 | 161 ms
[buffer 5000] >>> SUCCESS #35 | ep 49 | score 9433.03 | last_reward 3000.0 | loss 24.074 | eps 0.050 | steps 88 | mem 4304/5000 | tries_since_last=0 | 165 ms
[buffer 5000] ep    49 | SUCCESS | score   9433.03 | last_reward 3000.0 | loss  24.074 | eps 0.050 | steps   88 | mem 4304/5000 | tries_since_last=0 | 165 ms
[buffer 5000] >>> SUCCESS #36 | ep 50 | score 9429.84 | last_reward 3000.0 | loss 24.350 | eps 0.050 | steps 88 | mem 4392/5000 | tries_since_last=0 | 160 ms
[buffer 5000] ep    50 | SUCCESS | score   9429.84 | last_reward 3000.0 | loss  24.350 | eps 0.050 | steps   88 | mem 4392/5000 | tries_since_last=0 | 160 ms
[buffer 5000] >>> SUCCESS #37 | ep 51 | score 9475.70 | last_reward 3000.0 | loss 28.880 | eps 0.050 | steps 90 | mem 4482/5000 | tries_since_last=0 | 152 ms
[buffer 5000] ep    51 | SUCCESS | score   9475.70 | last_reward 3000.0 | loss  28.880 | eps 0.050 | steps   90 | mem 4482/5000 | tries_since_last=0 | 152 ms
[buffer 5000] >>> SUCCESS #38 | ep 52 | score 9447.37 | last_reward 3000.0 | loss 24.604 | eps 0.050 | steps 88 | mem 4570/5000 | tries_since_last=0 | 160 ms
[buffer 5000] ep    52 | SUCCESS | score   9447.37 | last_reward 3000.0 | loss  24.604 | eps 0.050 | steps   88 | mem 4570/5000 | tries_since_last=0 | 160 ms
[buffer 5000] >>> SUCCESS #39 | ep 53 | score 9459.79 | last_reward 3000.0 | loss 27.213 | eps 0.050 | steps 88 | mem 4658/5000 | tries_since_last=0 | 149 ms
[buffer 5000] ep    53 | SUCCESS | score   9459.79 | last_reward 3000.0 | loss  27.213 | eps 0.050 | steps   88 | mem 4658/5000 | tries_since_last=0 | 149 ms
[buffer 5000] >>> SUCCESS #40 | ep 54 | score 9447.49 | last_reward 3000.0 | loss 30.032 | eps 0.050 | steps 88 | mem 4746/5000 | tries_since_last=0 | 156 ms
[buffer 5000] ep    54 | SUCCESS | score   9447.49 | last_reward 3000.0 | loss  30.032 | eps 0.050 | steps   88 | mem 4746/5000 | tries_since_last=0 | 156 ms
[buffer 5000] >>> SUCCESS #41 | ep 55 | score 9443.32 | last_reward 3000.0 | loss 26.270 | eps 0.050 | steps 88 | mem 4834/5000 | tries_since_last=0 | 179 ms
[buffer 5000] ep    55 | SUCCESS | score   9443.32 | last_reward 3000.0 | loss  26.270 | eps 0.050 | steps   88 | mem 4834/5000 | tries_since_last=0 | 179 ms
[buffer 5000] >>> SUCCESS #42 | ep 56 | score 9480.69 | last_reward 3000.0 | loss 26.452 | eps 0.050 | steps 90 | mem 4924/5000 | tries_since_last=0 | 188 ms
[buffer 5000] ep    56 | SUCCESS | score   9480.69 | last_reward 3000.0 | loss  26.452 | eps 0.050 | steps   90 | mem 4924/5000 | tries_since_last=0 | 188 ms
[buffer 5000] >>> SUCCESS #43 | ep 57 | score 9453.50 | last_reward 3000.0 | loss 26.657 | eps 0.050 | steps 88 | mem 5012/5000 | tries_since_last=0 | 173 ms
[buffer 5000] ep    57 | SUCCESS | score   9453.50 | last_reward 3000.0 | loss  26.657 | eps 0.050 | steps   88 | mem 5012/5000 | tries_since_last=0 | 173 ms
[buffer 5000] >>> SUCCESS #44 | ep 58 | score 9446.01 | last_reward 3000.0 | loss 33.736 | eps 0.050 | steps 88 | mem 5100/5000 | tries_since_last=0 | 173 ms
[buffer 5000] ep    58 | SUCCESS | score   9446.01 | last_reward 3000.0 | loss  33.736 | eps 0.050 | steps   88 | mem 5100/5000 | tries_since_last=0 | 173 ms
[buffer 5000] >>> SUCCESS #45 | ep 59 | score 9501.75 | last_reward 3000.0 | loss 29.139 | eps 0.050 | steps 89 | mem 5189/5000 | tries_since_last=0 | 196 ms
[buffer 5000] ep    59 | SUCCESS | score   9501.75 | last_reward 3000.0 | loss  29.139 | eps 0.050 | steps   89 | mem 5189/5000 | tries_since_last=0 | 196 ms
[buffer 5000] >>> SUCCESS #46 | ep 60 | score 9501.91 | last_reward 3000.0 | loss 28.465 | eps 0.050 | steps 89 | mem 5278/5000 | tries_since_last=0 | 187 ms
[buffer 5000] ep    60 | SUCCESS | score   9501.91 | last_reward 3000.0 | loss  28.465 | eps 0.050 | steps   89 | mem 5278/5000 | tries_since_last=0 | 187 ms
[buffer 5000] >>> SUCCESS #47 | ep 61 | score 9499.11 | last_reward 3000.0 | loss 32.598 | eps 0.050 | steps 89 | mem 5367/5000 | tries_since_last=0 | 201 ms
[buffer 5000] ep    61 | SUCCESS | score   9499.11 | last_reward 3000.0 | loss  32.598 | eps 0.050 | steps   89 | mem 5367/5000 | tries_since_last=0 | 201 ms
[buffer 5000] >>> SUCCESS #48 | ep 62 | score 9459.00 | last_reward 3000.0 | loss 30.628 | eps 0.050 | steps 88 | mem 5455/5000 | tries_since_last=0 | 193 ms
[buffer 5000] ep    62 | SUCCESS | score   9459.00 | last_reward 3000.0 | loss  30.628 | eps 0.050 | steps   88 | mem 5455/5000 | tries_since_last=0 | 193 ms
[buffer 5000] >>> SUCCESS #49 | ep 63 | score 9449.53 | last_reward 3000.0 | loss 30.714 | eps 0.050 | steps 88 | mem 5543/5000 | tries_since_last=0 | 187 ms
[buffer 5000] ep    63 | SUCCESS | score   9449.53 | last_reward 3000.0 | loss  30.714 | eps 0.050 | steps   88 | mem 5543/5000 | tries_since_last=0 | 187 ms
[buffer 5000] >>> SUCCESS #50 | ep 64 | score 9444.63 | last_reward 3000.0 | loss 22.486 | eps 0.050 | steps 88 | mem 5631/5000 | tries_since_last=0 | 171 ms
[buffer 5000] ep    64 | SUCCESS | score   9444.63 | last_reward 3000.0 | loss  22.486 | eps 0.050 | steps   88 | mem 5631/5000 | tries_since_last=0 | 171 ms

==== Summary (capacity=5000) ====
episodes: 65
successes: 50
success_rate: 0.769
avg_score: 7905.46
std_score: 2924.09
avg_loss: 20.907
avg_epsilon: 0.268
avg_tries: 0.30
tries_std: 1.28
time_min: 0.14
episodes_per_min: 455.1



==== Start experiment: replay capacity (max_mem_size)=20000, batch_size=128 ====
[buffer 20000] ep     0 | fail    | score   1508.14 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   42 | mem 42/20000 | tries=1 | 1 ms
[buffer 20000] ep     1 | fail    | score   2939.64 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   62 | mem 104/20000 | tries=2 | 2 ms
[buffer 20000] >>> SUCCESS #1 | ep 2 | score 9375.27 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 111 | mem 215/20000 | tries_since_last=2 | 3 ms
[buffer 20000] ep     2 | SUCCESS | score   9375.27 | last_reward 3000.0 | loss   0.000 | eps 0.900 | steps  111 | mem 215/20000 | tries_since_last=2 | 3 ms
[buffer 20000] ep     3 | fail    | score   2007.56 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   47 | mem 262/20000 | tries=1 | 1 ms
[buffer 20000] >>> SUCCESS #2 | ep 4 | score 9399.54 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 107 | mem 369/20000 | tries_since_last=1 | 2 ms
[buffer 20000] ep     4 | SUCCESS | score   9399.54 | last_reward 3000.0 | loss   0.000 | eps 0.900 | steps  107 | mem 369/20000 | tries_since_last=1 | 2 ms
[buffer 20000] ep     5 | fail    | score   3540.84 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   66 | mem 435/20000 | tries=1 | 2 ms
[buffer 20000] ep     6 | fail    | score   2412.02 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   53 | mem 488/20000 | tries=2 | 1 ms
[buffer 20000] ep     7 | fail    | score    889.46 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   34 | mem 522/20000 | tries=3 | 1 ms
[buffer 20000] ep     8 | fail    | score   1620.25 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   40 | mem 562/20000 | tries=4 | 1 ms
[buffer 20000] ep     9 | fail    | score   4186.39 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   78 | mem 640/20000 | tries=5 | 2 ms
[buffer 20000] ep    10 | fail    | score   1258.15 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   35 | mem 675/20000 | tries=6 | 1 ms
[buffer 20000] ep    11 | fail    | score   2194.96 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   49 | mem 724/20000 | tries=7 | 1 ms
[buffer 20000] ep    12 | fail    | score   1354.68 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   39 | mem 763/20000 | tries=8 | 3 ms
[buffer 20000] ep    13 | fail    | score   1369.20 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   48 | mem 811/20000 | tries=9 | 2 ms
[buffer 20000] ep    14 | fail    | score   2749.96 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   63 | mem 874/20000 | tries=10 | 1 ms
[buffer 20000] ep    15 | fail    | score   5553.23 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps  100 | mem 974/20000 | tries=11 | 3 ms
[buffer 20000] ep    16 | fail    | score   5308.74 | last_reward -500.0 | loss  67.954 | eps 0.839 | steps   86 | mem 1060/20000 | tries=12 | 137 ms
[buffer 20000] ep    17 | fail    | score   4813.73 | last_reward -500.0 | loss  59.699 | eps 0.758 | steps   81 | mem 1141/20000 | tries=13 | 158 ms
[buffer 20000] ep    18 | fail    | score    648.76 | last_reward -500.0 | loss  51.822 | eps 0.726 | steps   32 | mem 1173/20000 | tries=14 | 64 ms
[buffer 20000] ep    19 | fail    | score   2703.83 | last_reward -500.0 | loss  43.096 | eps 0.673 | steps   53 | mem 1226/20000 | tries=15 | 101 ms
[buffer 20000] ep    20 | fail    | score   2918.37 | last_reward -500.0 | loss  31.584 | eps 0.616 | steps   57 | mem 1283/20000 | tries=16 | 93 ms
[buffer 20000] ep    21 | fail    | score    742.40 | last_reward -500.0 | loss  21.410 | eps 0.586 | steps   30 | mem 1313/20000 | tries=17 | 52 ms
[buffer 20000] ep    22 | fail    | score   2400.25 | last_reward -500.0 | loss  20.024 | eps 0.538 | steps   48 | mem 1361/20000 | tries=18 | 103 ms
[buffer 20000] ep    23 | fail    | score   1057.31 | last_reward -500.0 | loss  20.419 | eps 0.505 | steps   33 | mem 1394/20000 | tries=19 | 79 ms
[buffer 20000] ep    24 | fail    | score    327.51 | last_reward -500.0 | loss  16.478 | eps 0.474 | steps   31 | mem 1425/20000 | tries=20 | 63 ms
[buffer 20000] ep    25 | fail    | score    771.00 | last_reward -500.0 | loss  16.202 | eps 0.439 | steps   35 | mem 1460/20000 | tries=21 | 71 ms
[buffer 20000] ep    26 | fail    | score    605.52 | last_reward -500.0 | loss  14.357 | eps 0.412 | steps   27 | mem 1487/20000 | tries=22 | 53 ms
[buffer 20000] ep    27 | fail    | score   2533.01 | last_reward -500.0 | loss  18.432 | eps 0.364 | steps   48 | mem 1535/20000 | tries=23 | 83 ms
[buffer 20000] >>> SUCCESS #3 | ep 28 | score 9465.74 | last_reward 3000.0 | loss 13.360 | eps 0.271 | steps 93 | mem 1628/20000 | tries_since_last=23 | 168 ms
[buffer 20000] ep    28 | SUCCESS | score   9465.74 | last_reward 3000.0 | loss  13.360 | eps 0.271 | steps   93 | mem 1628/20000 | tries_since_last=23 | 168 ms
[buffer 20000] >>> SUCCESS #4 | ep 29 | score 9432.68 | last_reward 3000.0 | loss 13.230 | eps 0.181 | steps 90 | mem 1718/20000 | tries_since_last=0 | 192 ms
[buffer 20000] ep    29 | SUCCESS | score   9432.68 | last_reward 3000.0 | loss  13.230 | eps 0.181 | steps   90 | mem 1718/20000 | tries_since_last=0 | 192 ms
[buffer 20000] >>> SUCCESS #5 | ep 30 | score 9438.99 | last_reward 3000.0 | loss 15.627 | eps 0.092 | steps 89 | mem 1807/20000 | tries_since_last=0 | 153 ms
[buffer 20000] ep    30 | SUCCESS | score   9438.99 | last_reward 3000.0 | loss  15.627 | eps 0.092 | steps   89 | mem 1807/20000 | tries_since_last=0 | 153 ms
[buffer 20000] >>> SUCCESS #6 | ep 31 | score 9422.49 | last_reward 3000.0 | loss 17.261 | eps 0.050 | steps 89 | mem 1896/20000 | tries_since_last=0 | 150 ms
[buffer 20000] ep    31 | SUCCESS | score   9422.49 | last_reward 3000.0 | loss  17.261 | eps 0.050 | steps   89 | mem 1896/20000 | tries_since_last=0 | 150 ms
[buffer 20000] >>> SUCCESS #7 | ep 32 | score 9483.65 | last_reward 3000.0 | loss 15.733 | eps 0.050 | steps 89 | mem 1985/20000 | tries_since_last=0 | 156 ms
[buffer 20000] ep    32 | SUCCESS | score   9483.65 | last_reward 3000.0 | loss  15.733 | eps 0.050 | steps   89 | mem 1985/20000 | tries_since_last=0 | 156 ms
[buffer 20000] >>> SUCCESS #8 | ep 33 | score 9505.40 | last_reward 3000.0 | loss 16.872 | eps 0.050 | steps 89 | mem 2074/20000 | tries_since_last=0 | 160 ms
[buffer 20000] ep    33 | SUCCESS | score   9505.40 | last_reward 3000.0 | loss  16.872 | eps 0.050 | steps   89 | mem 2074/20000 | tries_since_last=0 | 160 ms
[buffer 20000] >>> SUCCESS #9 | ep 34 | score 9444.38 | last_reward 3000.0 | loss 20.779 | eps 0.050 | steps 88 | mem 2162/20000 | tries_since_last=0 | 155 ms
[buffer 20000] ep    34 | SUCCESS | score   9444.38 | last_reward 3000.0 | loss  20.779 | eps 0.050 | steps   88 | mem 2162/20000 | tries_since_last=0 | 155 ms
[buffer 20000] >>> SUCCESS #10 | ep 35 | score 9457.65 | last_reward 3000.0 | loss 18.872 | eps 0.050 | steps 92 | mem 2254/20000 | tries_since_last=0 | 205 ms
[buffer 20000] ep    35 | SUCCESS | score   9457.65 | last_reward 3000.0 | loss  18.872 | eps 0.050 | steps   92 | mem 2254/20000 | tries_since_last=0 | 205 ms
[buffer 20000] >>> SUCCESS #11 | ep 36 | score 9439.51 | last_reward 3000.0 | loss 23.465 | eps 0.050 | steps 88 | mem 2342/20000 | tries_since_last=0 | 180 ms
[buffer 20000] ep    36 | SUCCESS | score   9439.51 | last_reward 3000.0 | loss  23.465 | eps 0.050 | steps   88 | mem 2342/20000 | tries_since_last=0 | 180 ms
[buffer 20000] >>> SUCCESS #12 | ep 37 | score 9436.59 | last_reward 3000.0 | loss 20.532 | eps 0.050 | steps 88 | mem 2430/20000 | tries_since_last=0 | 150 ms
[buffer 20000] ep    37 | SUCCESS | score   9436.59 | last_reward 3000.0 | loss  20.532 | eps 0.050 | steps   88 | mem 2430/20000 | tries_since_last=0 | 150 ms
[buffer 20000] >>> SUCCESS #13 | ep 38 | score 9447.08 | last_reward 3000.0 | loss 25.273 | eps 0.050 | steps 88 | mem 2518/20000 | tries_since_last=0 | 177 ms
[buffer 20000] ep    38 | SUCCESS | score   9447.08 | last_reward 3000.0 | loss  25.273 | eps 0.050 | steps   88 | mem 2518/20000 | tries_since_last=0 | 177 ms
[buffer 20000] >>> SUCCESS #14 | ep 39 | score 9449.94 | last_reward 3000.0 | loss 20.864 | eps 0.050 | steps 89 | mem 2607/20000 | tries_since_last=0 | 213 ms
[buffer 20000] ep    39 | SUCCESS | score   9449.94 | last_reward 3000.0 | loss  20.864 | eps 0.050 | steps   89 | mem 2607/20000 | tries_since_last=0 | 213 ms
[buffer 20000] >>> SUCCESS #15 | ep 40 | score 9433.56 | last_reward 3000.0 | loss 24.183 | eps 0.050 | steps 88 | mem 2695/20000 | tries_since_last=0 | 214 ms
[buffer 20000] ep    40 | SUCCESS | score   9433.56 | last_reward 3000.0 | loss  24.183 | eps 0.050 | steps   88 | mem 2695/20000 | tries_since_last=0 | 214 ms
[buffer 20000] >>> SUCCESS #16 | ep 41 | score 9443.71 | last_reward 3000.0 | loss 25.757 | eps 0.050 | steps 88 | mem 2783/20000 | tries_since_last=0 | 215 ms
[buffer 20000] ep    41 | SUCCESS | score   9443.71 | last_reward 3000.0 | loss  25.757 | eps 0.050 | steps   88 | mem 2783/20000 | tries_since_last=0 | 215 ms
[buffer 20000] >>> SUCCESS #17 | ep 42 | score 9498.01 | last_reward 3000.0 | loss 23.449 | eps 0.050 | steps 89 | mem 2872/20000 | tries_since_last=0 | 178 ms
[buffer 20000] ep    42 | SUCCESS | score   9498.01 | last_reward 3000.0 | loss  23.449 | eps 0.050 | steps   89 | mem 2872/20000 | tries_since_last=0 | 178 ms
[buffer 20000] >>> SUCCESS #18 | ep 43 | score 9511.46 | last_reward 3000.0 | loss 25.588 | eps 0.050 | steps 89 | mem 2961/20000 | tries_since_last=0 | 184 ms
[buffer 20000] ep    43 | SUCCESS | score   9511.46 | last_reward 3000.0 | loss  25.588 | eps 0.050 | steps   89 | mem 2961/20000 | tries_since_last=0 | 184 ms
[buffer 20000] >>> SUCCESS #19 | ep 44 | score 9453.45 | last_reward 3000.0 | loss 26.135 | eps 0.050 | steps 88 | mem 3049/20000 | tries_since_last=0 | 171 ms
[buffer 20000] ep    44 | SUCCESS | score   9453.45 | last_reward 3000.0 | loss  26.135 | eps 0.050 | steps   88 | mem 3049/20000 | tries_since_last=0 | 171 ms
[buffer 20000] >>> SUCCESS #20 | ep 45 | score 9445.02 | last_reward 3000.0 | loss 21.676 | eps 0.050 | steps 88 | mem 3137/20000 | tries_since_last=0 | 161 ms
[buffer 20000] ep    45 | SUCCESS | score   9445.02 | last_reward 3000.0 | loss  21.676 | eps 0.050 | steps   88 | mem 3137/20000 | tries_since_last=0 | 161 ms
[buffer 20000] >>> SUCCESS #21 | ep 46 | score 9449.68 | last_reward 3000.0 | loss 22.234 | eps 0.050 | steps 88 | mem 3225/20000 | tries_since_last=0 | 161 ms
[buffer 20000] ep    46 | SUCCESS | score   9449.68 | last_reward 3000.0 | loss  22.234 | eps 0.050 | steps   88 | mem 3225/20000 | tries_since_last=0 | 161 ms
