
==== Running experiments with batch_size: 4 (fixed replay capacity=100000) ====
[batch 4] fail          | ep 0 | score 2782.9 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 58 | fails_since_last 1
[batch 64] >>> SUCCESS #16 | ep 45 | score 9500.1 | last_reward 3000.0 | loss 22.093 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #17 | ep 46 | score 9435.9 | last_reward 3000.0 | loss 19.581 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #18 | ep 47 | score 9436.1 | last_reward 3000.0 | loss 18.750 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #19 | ep 48 | score 9441.5 | last_reward 3000.0 | loss 23.340 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #20 | ep 49 | score 9439.1 | last_reward 3000.0 | loss 20.262 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #21 | ep 50 | score 9439.4 | last_reward 3000.0 | loss 23.639 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #22 | ep 51 | score 9506.5 | last_reward 3000.0 | loss 26.429 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #23 | ep 52 | score 9456.4 | last_reward 3000.0 | loss 22.785 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #24 | ep 53 | score 9433.9 | last_reward 3000.0 | loss 26.661 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #25 | ep 54 | score 9445.2 | last_reward 3000.0 | loss 28.526 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #26 | ep 55 | score 9442.5 | last_reward 3000.0 | loss 23.027 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #27 | ep 56 | score 9448.7 | last_reward 3000.0 | loss 20.310 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #28 | ep 57 | score 9454.8 | last_reward 3000.0 | loss 25.458 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #29 | ep 58 | score 9440.1 | last_reward 3000.0 | loss 40.045 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #30 | ep 59 | score 9462.0 | last_reward 3000.0 | loss 51.768 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #31 | ep 60 | score 9507.9 | last_reward 3000.0 | loss 29.917 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #32 | ep 61 | score 9452.1 | last_reward 3000.0 | loss 25.202 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #33 | ep 62 | score 9443.2 | last_reward 3000.0 | loss 31.593 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #34 | ep 63 | score 9462.9 | last_reward 3000.0 | loss 26.295 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #35 | ep 64 | score 9455.6 | last_reward 3000.0 | loss 29.241 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #36 | ep 65 | score 9444.3 | last_reward 3000.0 | loss 24.904 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #37 | ep 66 | score 9448.4 | last_reward 3000.0 | loss 32.039 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #38 | ep 67 | score 9436.6 | last_reward 3000.0 | loss 22.867 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #39 | ep 68 | score 9445.4 | last_reward 3000.0 | loss 23.160 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #40 | ep 69 | score 9448.7 | last_reward 3000.0 | loss 20.536 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #41 | ep 70 | score 9477.3 | last_reward 3000.0 | loss 24.288 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #42 | ep 71 | score 9449.3 | last_reward 3000.0 | loss 26.596 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #43 | ep 72 | score 9437.8 | last_reward 3000.0 | loss 23.966 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #44 | ep 73 | score 9449.5 | last_reward 3000.0 | loss 27.443 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #45 | ep 74 | score 9457.9 | last_reward 3000.0 | loss 32.626 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #46 | ep 75 | score 9446.2 | last_reward 3000.0 | loss 31.988 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #47 | ep 76 | score 9457.5 | last_reward 3000.0 | loss 23.657 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #48 | ep 77 | score 9460.5 | last_reward 3000.0 | loss 24.848 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #49 | ep 78 | score 9442.8 | last_reward 3000.0 | loss 34.029 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #50 | ep 79 | score 9450.2 | last_reward 3000.0 | loss 30.169 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #51 | ep 80 | score 9457.4 | last_reward 3000.0 | loss 33.040 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #52 | ep 81 | score 9457.2 | last_reward 3000.0 | loss 30.358 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #53 | ep 82 | score 9458.8 | last_reward 3000.0 | loss 33.583 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #54 | ep 83 | score 9478.1 | last_reward 3000.0 | loss 31.164 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #55 | ep 84 | score 9496.2 | last_reward 3000.0 | loss 34.306 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #56 | ep 85 | score 9459.9 | last_reward 3000.0 | loss 28.457 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #57 | ep 86 | score 9451.8 | last_reward 3000.0 | loss 25.077 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #58 | ep 87 | score 9447.3 | last_reward 3000.0 | loss 33.371 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #59 | ep 88 | score 9440.1 | last_reward 3000.0 | loss 23.607 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #60 | ep 89 | score 9457.3 | last_reward 3000.0 | loss 28.799 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #61 | ep 90 | score 9446.1 | last_reward 3000.0 | loss 26.788 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #62 | ep 91 | score 9448.3 | last_reward 3000.0 | loss 24.399 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #63 | ep 92 | score 9438.9 | last_reward 3000.0 | loss 50.976 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #64 | ep 93 | score 9440.6 | last_reward 3000.0 | loss 37.611 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #65 | ep 94 | score 9457.0 | last_reward 3000.0 | loss 29.083 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #66 | ep 95 | score 9452.8 | last_reward 3000.0 | loss 29.431 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #67 | ep 96 | score 9489.5 | last_reward 3000.0 | loss 28.555 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #68 | ep 97 | score 9447.0 | last_reward 3000.0 | loss 28.264 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #69 | ep 98 | score 9458.2 | last_reward 3000.0 | loss 31.087 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #70 | ep 99 | score 9514.4 | last_reward 3000.0 | loss 31.344 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #71 | ep 100 | score 9446.7 | last_reward 3000.0 | loss 31.342 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #72 | ep 101 | score 9459.8 | last_reward 3000.0 | loss 27.943 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #73 | ep 102 | score 9458.5 | last_reward 3000.0 | loss 24.402 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #74 | ep 103 | score 9460.2 | last_reward 3000.0 | loss 26.894 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #75 | ep 104 | score 9447.8 | last_reward 3000.0 | loss 24.416 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #76 | ep 105 | score 9456.2 | last_reward 3000.0 | loss 27.842 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #77 | ep 106 | score 9447.8 | last_reward 3000.0 | loss 28.180 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #78 | ep 107 | score 9500.1 | last_reward 3000.0 | loss 37.557 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #79 | ep 108 | score 9439.9 | last_reward 3000.0 | loss 26.229 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #80 | ep 109 | score 9438.8 | last_reward 3000.0 | loss 32.391 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #81 | ep 110 | score 9508.6 | last_reward 3000.0 | loss 27.544 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #82 | ep 111 | score 9477.0 | last_reward 3000.0 | loss 30.924 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #83 | ep 112 | score 9443.0 | last_reward 3000.0 | loss 32.003 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #84 | ep 113 | score 9455.5 | last_reward 3000.0 | loss 30.562 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #85 | ep 114 | score 9447.5 | last_reward 3000.0 | loss 24.927 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #86 | ep 115 | score 9440.2 | last_reward 3000.0 | loss 31.273 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #87 | ep 116 | score 9448.9 | last_reward 3000.0 | loss 32.737 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #88 | ep 117 | score 9457.9 | last_reward 3000.0 | loss 24.441 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #89 | ep 118 | score 9477.0 | last_reward 3000.0 | loss 30.692 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #90 | ep 119 | score 9449.5 | last_reward 3000.0 | loss 27.996 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #91 | ep 120 | score 9476.7 | last_reward 3000.0 | loss 28.338 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #92 | ep 121 | score 9511.7 | last_reward 3000.0 | loss 21.659 | eps 0.050 | steps 91 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #93 | ep 122 | score 9447.8 | last_reward 3000.0 | loss 25.846 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #94 | ep 123 | score 9452.4 | last_reward 3000.0 | loss 33.002 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #95 | ep 124 | score 9447.1 | last_reward 3000.0 | loss 36.923 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #96 | ep 125 | score 9440.4 | last_reward 3000.0 | loss 26.928 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #97 | ep 126 | score 9454.1 | last_reward 3000.0 | loss 56.028 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #98 | ep 127 | score 9496.1 | last_reward 3000.0 | loss 30.767 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #99 | ep 128 | score 9445.0 | last_reward 3000.0 | loss 31.184 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 64] >>> SUCCESS #100 | ep 129 | score 9455.6 | last_reward 3000.0 | loss 31.632 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)

==== Running experiments with batch_size: 128 (fixed replay capacity=100000) ====
[batch 128] fail          | ep 0 | score 1776.7 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 48 | fails_since_last 1
[batch 128] fail          | ep 1 | score 2428.7 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 54 | fails_since_last 2
[batch 128] fail          | ep 2 | score 2805.4 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 61 | fails_since_last 3
[batch 128] fail          | ep 3 | score 2449.0 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 61 | fails_since_last 4
[batch 128] fail          | ep 4 | score 2134.6 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 44 | fails_since_last 5
[batch 128] fail          | ep 5 | score 985.7 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 38 | fails_since_last 6
[batch 128] fail          | ep 6 | score 985.7 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 36 | fails_since_last 7
[batch 128] fail          | ep 7 | score 5003.3 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 93 | fails_since_last 8
[batch 128] fail          | ep 8 | score 578.3 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 28 | fails_since_last 9
[batch 128] >>> SUCCESS #1 | ep 9 | score 9407.0 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 103 | attempts 10 (fails 9+1)
[batch 128] fail          | ep 10 | score 1511.0 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 44 | fails_since_last 1
[batch 128] fail          | ep 11 | score 2193.9 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 45 | fails_since_last 2
[batch 128] fail          | ep 12 | score 2228.4 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 49 | fails_since_last 3
[batch 128] fail          | ep 13 | score 2221.1 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 78 | fails_since_last 4
[batch 128] fail          | ep 14 | score 2035.1 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 57 | fails_since_last 5
[batch 128] fail          | ep 15 | score 1261.8 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 56 | fails_since_last 6
[batch 128] >>> SUCCESS #2 | ep 16 | score 9467.5 | last_reward 3000.0 | loss 59.733 | eps 0.886 | steps 118 | attempts 7 (fails 6+1)
[batch 128] fail          | ep 17 | score 1023.2 | last_reward -500.0 | loss 60.972 | eps 0.856 | steps 30 | fails_since_last 1
[batch 128] fail          | ep 18 | score 1223.1 | last_reward -500.0 | loss 62.772 | eps 0.816 | steps 40 | fails_since_last 2
[batch 128] fail          | ep 19 | score 5154.7 | last_reward -500.0 | loss 53.699 | eps 0.725 | steps 91 | fails_since_last 3
[batch 128] fail          | ep 20 | score 1979.8 | last_reward -500.0 | loss 40.233 | eps 0.677 | steps 48 | fails_since_last 4
[batch 128] fail          | ep 21 | score 2002.2 | last_reward -500.0 | loss 29.114 | eps 0.631 | steps 46 | fails_since_last 5
[batch 128] fail          | ep 22 | score 2988.2 | last_reward -500.0 | loss 21.463 | eps 0.573 | steps 58 | fails_since_last 6
[batch 128] >>> SUCCESS #3 | ep 23 | score 9419.5 | last_reward 3000.0 | loss 18.746 | eps 0.478 | steps 95 | attempts 7 (fails 6+1)
[batch 128] fail          | ep 24 | score 5380.2 | last_reward -500.0 | loss 19.421 | eps 0.389 | steps 89 | fails_since_last 1
[batch 128] >>> SUCCESS #4 | ep 25 | score 9448.6 | last_reward 3000.0 | loss 18.394 | eps 0.297 | steps 92 | attempts 2 (fails 1+1)
[batch 128] >>> SUCCESS #5 | ep 26 | score 9436.6 | last_reward 3000.0 | loss 16.336 | eps 0.205 | steps 92 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #6 | ep 27 | score 9436.8 | last_reward 3000.0 | loss 17.076 | eps 0.114 | steps 91 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #7 | ep 28 | score 9466.6 | last_reward 3000.0 | loss 18.053 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #8 | ep 29 | score 9450.4 | last_reward 3000.0 | loss 18.729 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #9 | ep 30 | score 9506.2 | last_reward 3000.0 | loss 20.784 | eps 0.050 | steps 91 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #10 | ep 31 | score 9495.3 | last_reward 3000.0 | loss 23.931 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #11 | ep 32 | score 9444.5 | last_reward 3000.0 | loss 19.170 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #12 | ep 33 | score 9508.1 | last_reward 3000.0 | loss 21.503 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #13 | ep 34 | score 9441.5 | last_reward 3000.0 | loss 24.869 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #14 | ep 35 | score 9434.3 | last_reward 3000.0 | loss 25.150 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #15 | ep 36 | score 9501.8 | last_reward 3000.0 | loss 20.741 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #16 | ep 37 | score 9501.4 | last_reward 3000.0 | loss 25.174 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #17 | ep 38 | score 9441.9 | last_reward 3000.0 | loss 21.959 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #18 | ep 39 | score 9503.4 | last_reward 3000.0 | loss 22.220 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #19 | ep 40 | score 9448.3 | last_reward 3000.0 | loss 27.267 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #20 | ep 41 | score 9497.4 | last_reward 3000.0 | loss 21.071 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #21 | ep 42 | score 9508.0 | last_reward 3000.0 | loss 25.891 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #22 | ep 43 | score 9451.4 | last_reward 3000.0 | loss 20.074 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #23 | ep 44 | score 9444.0 | last_reward 3000.0 | loss 25.993 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #24 | ep 45 | score 9483.4 | last_reward 3000.0 | loss 23.809 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #25 | ep 46 | score 9458.0 | last_reward 3000.0 | loss 26.185 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #26 | ep 47 | score 9444.0 | last_reward 3000.0 | loss 26.766 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #27 | ep 48 | score 9461.1 | last_reward 3000.0 | loss 26.416 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #28 | ep 49 | score 9511.2 | last_reward 3000.0 | loss 27.529 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #29 | ep 50 | score 9450.8 | last_reward 3000.0 | loss 26.329 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #30 | ep 51 | score 9457.2 | last_reward 3000.0 | loss 28.045 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #31 | ep 52 | score 9442.6 | last_reward 3000.0 | loss 29.207 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #32 | ep 53 | score 9427.4 | last_reward 3000.0 | loss 58.568 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #33 | ep 54 | score 9501.7 | last_reward 3000.0 | loss 30.580 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #34 | ep 55 | score 9443.2 | last_reward 3000.0 | loss 25.579 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #35 | ep 56 | score 9429.2 | last_reward 3000.0 | loss 30.883 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #36 | ep 57 | score 9456.1 | last_reward 3000.0 | loss 24.861 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #37 | ep 58 | score 9456.8 | last_reward 3000.0 | loss 24.861 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #38 | ep 59 | score 9458.6 | last_reward 3000.0 | loss 24.725 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #39 | ep 60 | score 9462.3 | last_reward 3000.0 | loss 25.751 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #40 | ep 61 | score 9489.4 | last_reward 3000.0 | loss 26.310 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #41 | ep 62 | score 9468.6 | last_reward 3000.0 | loss 28.295 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #42 | ep 63 | score 9463.6 | last_reward 3000.0 | loss 25.304 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #43 | ep 64 | score 9439.9 | last_reward 3000.0 | loss 28.318 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #44 | ep 65 | score 9508.8 | last_reward 3000.0 | loss 30.216 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #45 | ep 66 | score 9445.9 | last_reward 3000.0 | loss 26.776 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #46 | ep 67 | score 9440.9 | last_reward 3000.0 | loss 24.404 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #47 | ep 68 | score 9440.2 | last_reward 3000.0 | loss 25.028 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #48 | ep 69 | score 9446.8 | last_reward 3000.0 | loss 24.103 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #49 | ep 70 | score 9442.5 | last_reward 3000.0 | loss 24.285 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #50 | ep 71 | score 9449.8 | last_reward 3000.0 | loss 25.912 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #51 | ep 72 | score 9455.4 | last_reward 3000.0 | loss 28.274 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #52 | ep 73 | score 9435.6 | last_reward 3000.0 | loss 25.196 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #53 | ep 74 | score 9449.4 | last_reward 3000.0 | loss 25.981 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #54 | ep 75 | score 9451.5 | last_reward 3000.0 | loss 33.249 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #55 | ep 76 | score 9461.5 | last_reward 3000.0 | loss 24.660 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #56 | ep 77 | score 9500.3 | last_reward 3000.0 | loss 20.891 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #57 | ep 78 | score 9454.2 | last_reward 3000.0 | loss 29.050 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #58 | ep 79 | score 9446.6 | last_reward 3000.0 | loss 25.271 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #59 | ep 80 | score 9512.6 | last_reward 3000.0 | loss 26.747 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #60 | ep 81 | score 9510.8 | last_reward 3000.0 | loss 25.574 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #61 | ep 82 | score 9476.9 | last_reward 3000.0 | loss 27.198 | eps 0.050 | steps 89 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #62 | ep 83 | score 9439.2 | last_reward 3000.0 | loss 30.359 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #63 | ep 84 | score 9441.7 | last_reward 3000.0 | loss 28.929 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #64 | ep 85 | score 9447.7 | last_reward 3000.0 | loss 31.048 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #65 | ep 86 | score 9451.4 | last_reward 3000.0 | loss 35.801 | eps 0.050 | steps 90 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #66 | ep 87 | score 9511.2 | last_reward 3000.0 | loss 46.787 | eps 0.050 | steps 91 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #67 | ep 88 | score 9435.6 | last_reward 3000.0 | loss 24.588 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
[batch 128] >>> SUCCESS #68 | ep 89 | score 9450.9 | last_reward 3000.0 | loss 29.689 | eps 0.050 | steps 88 | attempts 1 (fails 0+1)
